experiment,pipeline,run_name,target_level,total_samples,exact_match_count,partial_match_count,complete_mismatch_count,emr
exp1,traditional,LP_Basic_Unigram_BoW_SVM,unknown,3049,1415,340,1294,0.4641
exp1,traditional,LP_Basic_Unigram_TFIDF_LR,unknown,3049,1493,344,1212,0.4897
exp1,traditional,LP_Basic_Unigram_TFIDF_NB,unknown,3049,1379,338,1332,0.4523
exp1,traditional,LP_Basic_Unigram_TFIDF_SVM,unknown,3049,1487,347,1215,0.4877
exp1,transformers,IndoBERT-LEM_basic_lr2e-05_bs16,basic,3049,1468,425,1156,0.4815
exp1,transformers,IndoBERT-LEM_basic_lr2e-05_bs32,basic,3049,1400,416,1233,0.4592
exp1,transformers,IndoBERT-LEM_basic_lr3e-05_bs16,basic,3049,1507,440,1102,0.4943
exp1,transformers,IndoBERT-LEM_basic_lr3e-05_bs32,basic,3049,1436,434,1179,0.471
exp1,transformers,IndoBERT-LEM_basic_lr4e-05_bs16,basic,3049,1458,443,1148,0.4782
exp1,transformers,IndoBERT-LEM_basic_lr4e-05_bs32,basic,3049,1541,427,1081,0.5054
exp1,transformers,IndoBERT-LEM_basic_lr5e-05_bs16,basic,3049,1491,456,1102,0.489
exp1,transformers,IndoBERT-LEM_basic_lr5e-05_bs32,basic,3049,1460,450,1139,0.4788
exp1,transformers,IndoBERT-LEM_fine_lr2e-05_bs16,fine,3049,283,147,2619,0.0928
exp1,transformers,IndoBERT-LEM_fine_lr2e-05_bs32,fine,3049,17,3,3029,0.0056
exp1,transformers,IndoBERT-LEM_fine_lr3e-05_bs32,fine,3049,118,54,2877,0.0387
exp1,transformers,IndoBERT-LEM_fine_lr5e-05_bs32,fine,3049,152,72,2825,0.0499
exp1,transformers,IndoBERT_basic_lr2e-05_bs16,basic,3049,1599,475,975,0.5244
exp1,transformers,IndoBERT_basic_lr2e-05_bs32,basic,3049,1576,463,1010,0.5169
exp1,transformers,IndoBERT_basic_lr3e-05_bs16,basic,3049,1569,476,1004,0.5146
exp1,transformers,IndoBERT_basic_lr3e-05_bs32,basic,3049,1596,457,996,0.5235
exp1,transformers,IndoBERT_basic_lr4e-05_bs16,basic,3049,1560,505,984,0.5116
exp1,transformers,IndoBERT_basic_lr4e-05_bs32,basic,3049,1591,476,982,0.5218
exp1,transformers,IndoBERT_basic_lr5e-05_bs16,basic,3049,1563,496,990,0.5126
exp1,transformers,IndoBERT_basic_lr5e-05_bs32,basic,3049,1575,491,983,0.5166
exp1,transformers,IndoBERT_fine_lr2e-05_bs16,fine,3049,662,296,2091,0.2171
exp1,transformers,IndoBERT_fine_lr2e-05_bs32,fine,3049,447,172,2430,0.1466
exp1,transformers,IndoBERT_fine_lr3e-05_bs16,fine,3049,756,368,1925,0.248
exp1,transformers,IndoBERT_fine_lr3e-05_bs32,fine,3049,618,266,2165,0.2027
exp1,transformers,IndoBERT_fine_lr4e-05_bs16,fine,3049,801,388,1860,0.2627
exp1,transformers,IndoBERT_fine_lr4e-05_bs32,fine,3049,681,330,2038,0.2234
exp1,transformers,IndoBERT_fine_lr5e-05_bs16,fine,3049,823,417,1809,0.2699
exp1,transformers,IndoBERT_fine_lr5e-05_bs32,fine,3049,716,357,1976,0.2348
exp1,transformers,IndoBERTweet_basic_lr2e-05_bs32,basic,3049,1625,461,963,0.533
exp1,transformers,IndoBERTweet_basic_lr3e-05_bs32,basic,3049,1619,502,928,0.531
exp1,transformers,IndoBERTweet_basic_lr5e-05_bs32,basic,3049,1637,505,907,0.5369
exp1,transformers,IndoBERTweet_fine_lr2e-05_bs32,fine,3049,145,63,2841,0.0476
exp1,transformers,IndoBERTweet_fine_lr3e-05_bs32,fine,3049,389,176,2484,0.1276
exp1,transformers,IndoBERTweet_fine_lr5e-05_bs32,fine,3049,675,280,2094,0.2214
exp1,transformers,XLM-R_basic_lr2e-05_bs32,basic,3049,1500,426,1123,0.492
exp1,transformers,XLM-R_basic_lr3e-05_bs32,basic,3049,1509,461,1079,0.4949
exp1,transformers,XLM-R_basic_lr5e-05_bs32,basic,3049,1391,385,1273,0.4562
exp1,transformers,XLM-R_fine_lr2e-05_bs32,fine,3049,4,0,3045,0.0013
exp1,transformers,XLM-R_fine_lr3e-05_bs32,fine,3049,127,54,2868,0.0417
exp1,transformers,XLM-R_fine_lr5e-05_bs32,fine,3049,133,54,2862,0.0436
exp1,transformers,mmBERT_basic_lr2e-05_bs32,basic,3049,1496,536,1017,0.4907
exp1,transformers,mmBERT_basic_lr3e-05_bs32,basic,3049,1491,548,1010,0.489
exp1,transformers,mmBERT_basic_lr5e-05_bs32,basic,3049,1481,557,1011,0.4857
exp1,transformers,mmBERT_fine_lr2e-05_bs32,fine,3049,795,507,1747,0.2607
exp1,transformers,mmBERT_fine_lr3e-05_bs32,fine,3049,789,549,1711,0.2588
exp1,transformers,mmBERT_fine_lr5e-05_bs32,fine,3049,837,561,1651,0.2745
exp2,dl,bilstm_fasttext_basic_hid256,basic,3049,0,3045,4,0.0
exp2,dl,bilstm_fasttext_fine_hid256,fine,3049,0,3045,4,0.0
exp2,dl,bilstm_indobert_basic_hid256,basic,3049,1132,885,1032,0.3713
